# create_lambda_band.py -l 1.25 -e 14 -lo
# LO cross-section {center, min, max}
0.0017128057 0.0015837736 0.0018643829 


# LO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 5.7105475e-06 5.3187794e-06 6.1594367e-06 
30.0 60.0 1.2403196e-05 1.1523001e-05 1.3427601e-05 
60.0 90.0 1.2164373e-05 1.1264647e-05 1.3218114e-05 
90.0 120.0 9.0868698e-06 8.395053e-06 9.904164e-06 
120.0 150.0 6.0566349e-06 5.5811084e-06 6.6203118e-06 
150.0 180.0 3.8765568e-06 3.5665459e-06 4.2420636e-06 
180.0 210.0 2.4769548e-06 2.2768023e-06 2.7160421e-06 
210.0 240.0 1.6077025e-06 1.4763669e-06 1.7646881e-06 
240.0 270.0 1.0684378e-06 9.8007706e-07 1.1745934e-06 
270.0 300.0 7.2294748e-07 6.6213679e-07 7.9442806e-07 


# LO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 4.3329723e-19 0.0 4.3329723e-19 
-4.0 -3.9 1.4934785e-13 1.036406e-13 1.1757933e-12 
-3.9 -3.8 2.6448174e-11 2.6448174e-11 3.4295671e-11 
-3.8 -3.7 5.3149535e-10 3.0068072e-10 5.3149535e-10 
-3.7 -3.6 2.5223098e-09 2.5223098e-09 3.129914e-09 
-3.6 -3.5 1.316562e-08 1.1391829e-08 1.5499817e-08 
-3.5 -3.4 4.5473577e-08 4.0761058e-08 5.1810077e-08 
-3.4 -3.3 1.3052766e-07 1.1537459e-07 1.4736268e-07 
-3.3 -3.2 3.3396935e-07 2.9737844e-07 3.7424946e-07 
-3.2 -3.1 7.0427956e-07 6.5636283e-07 7.7566535e-07 
-3.1 -3.0 1.3895575e-06 1.2516094e-06 1.5570417e-06 
-3.0 -2.9 2.5288696e-06 2.31591e-06 2.8102602e-06 
-2.9 -2.8 4.486345e-06 4.0826275e-06 4.9380526e-06 
-2.8 -2.7 7.2360359e-06 6.6458914e-06 8.0002113e-06 
-2.7 -2.6 1.1362891e-05 1.0381415e-05 1.2524907e-05 
-2.6 -2.5 1.7165064e-05 1.5723267e-05 1.873393e-05 
-2.5 -2.4 2.4642505e-05 2.2734514e-05 2.6942253e-05 
-2.4 -2.3 3.4293257e-05 3.1699582e-05 3.7532071e-05 
-2.3 -2.2 4.6304821e-05 4.2607065e-05 5.0464853e-05 
