# create_lambda_band.py -l 8 -e 14 -nlo
# NLO cross-section {center, min, max}
0.060563909 0.060384024 0.06093165 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00017275411 0.00017206666 0.00017351431 
30.0 60.0 0.00039218165 0.0003907908 0.00039425688 
60.0 90.0 0.00041034909 0.0004090172 0.00041273753 
90.0 120.0 0.00032814996 0.00032716851 0.00033019448 
120.0 150.0 0.00023312095 0.00023231525 0.0002346412 
150.0 180.0 0.00015706292 0.00015632658 0.00015814772 
180.0 210.0 0.00010398429 0.00010341297 0.00010466147 
210.0 240.0 6.8794543e-05 6.8362365e-05 6.9303348e-05 
240.0 270.0 4.5875101e-05 4.5563262e-05 4.6229991e-05 
270.0 300.0 3.0986333e-05 3.0747688e-05 3.1204514e-05 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 0.0 0.0 0.0 
-4.6 -4.5 0.0 0.0 0.0 
-4.5 -4.4 0.0 0.0 0.0 
-4.4 -4.3 0.0 0.0 0.0 
-4.3 -4.2 0.0 0.0 0.0 
-4.2 -4.1 0.0 0.0 0.0 
-4.1 -4.0 0.0 0.0 2.5586308e-15 
-4.0 -3.9 5.1511857e-11 4.0197571e-11 9.7294866e-11 
-3.9 -3.8 5.8547735e-09 5.5726201e-09 6.6524235e-09 
-3.8 -3.7 9.0749739e-08 7.8871476e-08 9.8882009e-08 
-3.7 -3.6 6.0016508e-07 5.6897531e-07 6.5026815e-07 
-3.6 -3.5 2.7975176e-06 2.6299149e-06 2.9402479e-06 
-3.5 -3.4 8.7678827e-06 8.4022097e-06 9.080013e-06 
-3.4 -3.3 2.3278145e-05 2.2220307e-05 2.3857355e-05 
-3.3 -3.2 5.2087634e-05 5.0274197e-05 5.3375183e-05 
-3.2 -3.1 0.00010385953 0.00010070522 0.00010620565 
-3.1 -3.0 0.00019386218 0.00018859909 0.00019648624 
-3.0 -2.9 0.00032342874 0.00031730558 0.0003294341 
-2.9 -2.8 0.00051709408 0.00050537304 0.00052165311 
-2.8 -2.7 0.0007712891 0.00075870965 0.00077934575 
-2.7 -2.6 0.0011094215 0.001094493 0.0011202086 
-2.6 -2.5 0.0015268198 0.0015025151 0.001539633 
-2.5 -2.4 0.0020218142 0.002000962 0.0020349194 
-2.4 -2.3 0.0026205106 0.0025944218 0.0026357649 
-2.3 -2.2 0.0032886192 0.0032553078 0.0033055277 
-2.2 -2.1 0.0040584871 0.0040277532 0.0040851215 
-2.1 -2.0 0.0048679156 0.0048364741 0.0048936136 
-2.0 -1.9 0.0057623675 0.0057207445 0.005794651 
-1.9 -1.8 0.006679841 0.0066487966 0.0067153252 
-1.8 -1.7 0.0076890006 0.0076490318 0.0077274929 
-1.7 -1.6 0.008698572 0.0086662467 0.0087470526 
-1.6 -1.5 0.0096764237 0.0096372244 0.0097310532 
-1.5 -1.4 0.010716647 0.010681752 0.010774757 
-1.4 -1.3 0.011721597 0.01169293 0.011794756 
-1.3 -1.2 0.012697325 0.012657532 0.012763821 
-1.2 -1.1 0.013634001 0.013588326 0.013715728 
-1.1 -1.0 0.014543613 0.014493528 0.014631392 
-1.0 -0.9 0.015414543 0.015353158 0.015506996 
-0.9 -0.8 0.016136032 0.016077234 0.016234706 
-0.8 -0.7 0.016866021 0.016805583 0.016968438 
-0.7 -0.6 0.017533969 0.017464925 0.01764082 
-0.6 -0.5 0.018067535 0.017997014 0.018185628 
-0.5 -0.4 0.018534214 0.018456525 0.018650835 
-0.4 -0.3 0.018914348 0.01884142 0.01903268 
-0.3 -0.2 0.019198732 0.019124185 0.019324072 
-0.2 -0.1 0.019373025 0.019290925 0.019498659 
-0.1 0.0 0.019449715 0.019368378 0.019573071 
0.0 0.1 0.019481733 0.019400439 0.019607008 
0.1 0.2 0.019375959 0.019296096 0.019498245 
0.2 0.3 0.019201308 0.019118715 0.019326413 
0.3 0.4 0.018916513 0.018842966 0.01903397 
